COUNTRY,WHO_REGION,DATA_SOURCE,DATE_UPDATED,TOTAL_VACCINATIONS,PERSONS_VACCINATED_1PLUS_DOSE,TOTAL_VACCINATIONS_PER100,PERSONS_VACCINATED_1PLUS_DOSE_PER100,PERSONS_LAST_DOSE,PERSONS_LAST_DOSE_PER100,FIRST_VACCINE_DATE,NUMBER_VACCINES_TYPES_USED,PERSONS_BOOSTER_ADD_DOSE,PERSONS_BOOSTER_ADD_DOSE_PER100
Sweden,EURO,REPORTING,2023-10-01,23237123.0,7473037,225.0,71.496,7334822,70.174,2020-12-23,5.0,5542831.0,53.03
Tuvalu,WPRO,REPORTING,2023-02-01,26783.0,9763,227.129,82.793,9505,80.605,2021-04-13,1.0,5745.0,48.719
Thailand,SEARO,REPORTING,2023-09-01,139343323.0,57666184,199.632,82.616,54196116,77.645,2021-02-28,8.0,27481023.0,39.371
The United Kingdom,EURO,REPORTING,2022-09-11,151248820.0,53813491,222.8,79.983,50762968,75.449,2020-12-21,3.0,,
Turkey,EURO,REPORTING,2023-01-29,139694693.0,50974980,,60.735,50670345,59.77,,3.0,27896331.0,32.906
Afghanistan,EMRO,REPORTING,2023-11-14,22495714.0,18817341,57.787,48.338,18036203,46.332,2021-02-22,11.0,2595111.0,6.666
Burundi,AFRO,REPORTING,2023-11-05,41538.0,36909,0.349,0.31,36321,0.305,2021-10-18,1.0,314.0,0.003
Cabo Verde,AFRO,REPORTING,2022-09-25,859940.0,356734,154.669,64.162,308720,55.526,2021-03-18,4.0,749.0,0.135
Cayman Islands,AMRO,REPORTING,2023-06-09,151970.0,62113,231.239,94.512,60688,92.343,2021-01-15,1.0,24064.0,36.616
Falkland Islands (Malvinas),AMRO,REPORTING,2022-06-21,9390.0,3220,269.595,92.449,2976,85.444,,1.0,2543.0,73.012
Faroe Islands,EURO,OWID,2022-02-18,103894.0,41715,212.614,85.368,40895,83.69,,2.0,21284.0,43.557
France,EURO,REPORTING,2023-07-09,158060078.0,54677676,234.8,80.56,53189148,78.367,2020-12-23,9.0,41042160.0,60.47
Italy,EURO,REPORTING,2023-10-01,150322633.0,50581361,252.0,85.692,49484658,83.829,2020-12-23,9.0,44917500.0,76.092
Kiribati,WPRO,REPORTING,2023-02-06,219980.0,100900,184.162,84.471,81474,68.208,2021-05-26,2.0,37606.0,31.483
Nauru,WPRO,REPORTING,2023-02-20,32157.0,13106,296.816,120.971,11346,104.726,2021-04-09,2.0,7705.0,71.119
New Zealand,WPRO,REPORTING,2023-04-21,12252378.0,4241210,254.081,87.951,4084115,84.693,2021-02-19,4.0,2719283.0,56.391
Nicaragua,AMRO,REPORTING,2023-08-11,15507763.0,6404524,234.095,96.679,6126708,92.485,2021-03-03,11.0,2892531.0,43.664
Palau,WPRO,REPORTING,2023-03-10,51032.0,18573,282.069,102.659,18278,101.028,2021-01-03,3.0,12885.0,71.219
Paraguay,AMRO,REPORTING,2023-09-22,9867488.0,3993125,138.345,55.985,3549775,49.769,2021-02-22,8.0,1660766.0,23.284
Philippines,WPRO,REPORTING,2023-03-19,189317158.0,82684774,172.764,75.455,78443972,71.585,2021-03-01,11.0,23811248.0,21.729
Pitcairn Islands,WPRO,REPORTING,2022-08-29,117.0,47,234.0,94.0,47,94.0,2021-05-17,1.0,23.0,46.0
Republic of Korea,WPRO,REPORTING,2023-09-04,135927574.0,44698288,265.125,87.184,44288342,86.384,2021-02-26,5.0,33644119.0,65.622
Russian Federation,EURO,OWID,2023-09-27,187374508.0,89081596,128.4,61.392,79702396,54.928,,2.0,,
Samoa,WPRO,REPORTING,2023-02-24,453130.0,191403,228.376,96.466,177954,89.688,2021-04-18,2.0,82268.0,41.463
Sierra Leone,AFRO,REPORTING,2023-07-30,9155936.0,5676123,114.779,71.156,4961886,62.203,2021-03-15,2.0,1201709.0,15.065
Singapore,WPRO,REPORTING,2023-08-29,15302530.0,5284679,261.566,90.331,5248693,89.716,2020-12-30,4.0,4769158.0,81.519
Sint Eustatius,AMRO,REPORTING,2023-06-02,4319.0,1791,137.592,57.056,1686,53.711,,,767.0,24.435
Spain,EURO,REPORTING,2023-09-03,112886307.0,41332084,238.5,87.138,37485721,79.029,2020-12-30,4.0,26573833.0,56.024
Switzerland,EURO,REPORTING,2023-07-02,16755985.0,6096600,193.6,70.145,5723066,65.847,2020-12-23,6.0,4996650.0,57.49
Syrian Arab Republic,EMRO,REPORTING,2023-04-18,5090630.0,3295630,29.088,18.831,2358365,13.476,2021-04-01,11.0,75881.0,0.434
Timor-Leste,SEARO,REPORTING,2023-11-22,2028798.0,886838,153.878,67.264,801759,60.811,2021-04-07,4.0,340201.0,25.803
Viet Nam,WPRO,REPORTING,2023-06-30,266492149.0,90272853,273.779,92.741,85961564,88.312,2021-03-08,6.0,57975220.0,59.56
