COUNTRY,WHO_REGION,DATA_SOURCE,DATE_UPDATED,TOTAL_VACCINATIONS,PERSONS_VACCINATED_1PLUS_DOSE,TOTAL_VACCINATIONS_PER100,PERSONS_VACCINATED_1PLUS_DOSE_PER100,PERSONS_LAST_DOSE,PERSONS_LAST_DOSE_PER100,FIRST_VACCINE_DATE,NUMBER_VACCINES_TYPES_USED,PERSONS_BOOSTER_ADD_DOSE,PERSONS_BOOSTER_ADD_DOSE_PER100
American Samoa,WPRO,REPORTING,2023-03-29,114706.0,46206,207.812,83.711,42479,76.959,2020-12-21,3.0,24160.0,43.77
Austria,EURO,REPORTING,2023-07-02,20403676.0,6899873,229.2,76.953,6682372,74.423,2020-12-30,10.0,5405966.0,60.207
Bangladesh,SEARO,REPORTING,2023-10-18,362229859.0,151504394,219.947,91.994,142193276,86.34,2021-01-27,8.0,68532189.0,41.613
Brunei Darussalam,WPRO,REPORTING,2023-06-30,1293100.0,451149,295.58,103.125,446714,102.111,2021-04-03,5.0,340466.0,77.825
Bulgaria,EURO,REPORTING,2023-09-24,4618931.0,2108544,66.4,30.831,2080324,30.419,2020-12-30,4.0,833135.0,12.182
Central African Republic,AFRO,REPORTING,2023-09-03,3342248.0,2600389,69.201,53.841,2484985,51.451,2021-03-19,2.0,366221.0,7.583
Cuba,AMRO,REPORTING,2023-11-17,38217146.0,9916126,337.41,87.547,10037942,88.623,,3.0,8778841.0,77.506
Curaçao,AMRO,REPORTING,2023-06-02,260324.0,108601,158.644,66.183,100885,61.48,2021-02-24,3.0,43138.0,26.289
Ecuador,AMRO,REPORTING,2023-03-24,39564195.0,14768682,224.248,83.708,14240587,80.715,2021-01-20,4.0,7732930.0,43.83
Estonia,EURO,REPORTING,2023-10-01,2205229.0,845148,165.9,63.459,842177,63.236,2020-12-23,9.0,487389.0,36.596
Ethiopia,AFRO,REPORTING,2023-05-28,68856793.0,52489512,59.894,45.658,43653006,37.971,2021-03-13,4.0,5978070.0,5.2
Fiji,WPRO,REPORTING,2023-06-29,1547226.0,712025,172.596,79.428,641194,71.526,2021-03-07,3.0,172078.0,19.196
Gambia,AFRO,REPORTING,2023-03-19,1444492.0,674314,59.772,27.903,539186,22.311,2021-03-10,2.0,53741.0,2.224
Guadeloupe,AMRO,REPORTING,2023-07-14,400424.0,152189,100.075,38.035,146147,36.525,2021-01-08,7.0,89052.0,22.256
Honduras,AMRO,REPORTING,2023-08-11,17074861.0,6505566,172.393,65.682,5765751,58.213,2021-02-22,6.0,4803544.0,48.498
Ireland,EURO,REPORTING,2023-09-17,12391251.0,4108813,249.6,83.9,4063151,80.299,2020-12-30,5.0,3058389.0,60.442
Jordan,EMRO,REPORTING,2022-08-21,10057975.0,4821579,98.577,47.256,4558313,44.676,2021-01-13,10.0,682211.0,6.686
Libya,EMRO,REPORTING,2023-01-16,3739158.0,2316327,54.417,33.71,1236102,17.989,2021-04-11,10.0,186729.0,2.718
Lithuania,EURO,REPORTING,2023-10-01,4532726.0,1956489,162.2,69.878,1907062,67.964,2020-12-23,5.0,902114.0,32.149
Malawi,AFRO,REPORTING,2023-09-24,8503954.0,5433538,44.454,28.403,4288014,22.415,2021-03-11,2.0,1232829.0,6.444
Maldives,SEARO,REPORTING,2023-05-25,951764.0,399308,176.075,73.872,385167,71.255,2021-02-01,8.0,167289.0,30.948
Malta,EURO,REPORTING,2023-09-03,1280176.0,450535,248.8,86.48,444904,85.399,2020-12-23,4.0,352640.0,67.689
Netherlands,EURO,REPORTING,2023-10-01,37561429.0,12582081,215.8,72.285,11767842,66.898,2020-12-30,8.0,9416761.0,53.533
Niger,AFRO,REPORTING,2023-07-30,7372208.0,6248483,30.455,25.813,5483001,22.651,2021-03-29,2.0,,
Romania,EURO,REPORTING,2023-09-10,16111239.0,8188146,83.4,42.999,8142376,42.759,2021-01-27,4.0,1768917.0,9.289
Saint Vincent and the Grenadines,AMRO,REPORTING,2023-06-02,73443.0,37532,66.201,33.831,31632,28.513,2021-02-01,5.0,4279.0,3.857
Slovakia,EURO,REPORTING,2023-10-01,7222567.0,2840027,132.3,52.257,2791711,51.368,2020-12-23,7.0,1686463.0,31.031
Algeria,AFRO,REPORTING,2022-09-04,15267442.0,7840131,34.817,17.879,6481186,14.78,2021-01-30,4.0,575651.0,1.313
Angola,AFRO,REPORTING,2023-11-19,27722924.0,16522932,84.351,50.273,9591203,29.183,2021-03-10,1.0,3014421.0,9.172
Armenia,EURO,REPORTING,2023-10-01,2256919.0,1150915,76.2,41.237,1030758,36.932,2021-01-27,10.0,81354.0,2.915
Aruba,AMRO,REPORTING,2023-11-17,217070.0,90493,203.314,84.758,84349,79.004,2021-02-17,2.0,35659.0,33.399
Brazil,AMRO,REPORTING,2023-11-17,515827664.0,184663245,242.675,86.876,172666955,81.232,2021-01-17,5.0,110565285.0,52.016
Burkina Faso,AFRO,REPORTING,2023-07-23,7893609.0,6089089,37.763,29.13,5232347,25.031,2021-06-02,3.0,4056.0,0.019
Costa Rica,AMRO,REPORTING,2023-10-06,13576935.0,4650636,266.522,91.294,4369784,85.781,2020-12-24,3.0,2986527.0,58.627
